Date,Open,High,Low,Last,Close,Quantity,Turnover
1/15/2018,2777.15,2808,2735.05,2737.4,2746.1,728607,20170.15
1/12/2018,2805,2805,2740.55,2769.9,2776.35,1680157,46444.23
1/11/2018,2810,2821.9,2782.2,2792.5,2790.5,1260524,35251.61
1/10/2018,2711,2816,2694.65,2803,2806.6,1682925,46504.24
1/9/2018,2715,2721,2676.55,2708.95,2709,1074698,29055.11
1/8/2018,2700,2726.85,2681.85,2708.8,2714.4,621110,16830.46
1/5/2018,2650,2699.5,2650,2695,2689.2,576853,15488.21
1/4/2018,2650,2662,2640,2650,2657.1,456541,12098.07
1/3/2018,2632,2669,2631.2,2639,2638.65,628560,16651.86
1/2/2018,2660,2669.6,2620.2,2631,2631.2,960145,25358
1/1/2018,2682.3,2694.8,2635,2650,2645.6,675880,17944.18
12/29/2017,2623.1,2708.9,2618.55,2700,2701.2,1304771,34940.69
12/28/2017,2608.8,2653.5,2605.65,2631,2626.95,1302544,34262.57
12/27/2017,2649.45,2658.5,2610.5,2617,2619.9,369642,9729.74
12/26/2017,2686,2689.75,2631.6,2650.35,2649.45,1087893,28868.39
12/22/2017,2604,2663.9,2590.2,2640,2646.75,1832832,48319.49
12/21/2017,2587,2608,2580.05,2582.1,2595.7,646824,16785.69
12/20/2017,2582,2592.75,2550.65,2592,2588.95,788785,20300.2
12/19/2017,2576,2597.8,2564.7,2577.4,2575.3,900976,23273.87
12/18/2017,2537,2588.95,2494.35,2576.6,2580.5,1090332,27787.74
12/15/2017,2563.75,2584.45,2536.85,2543.95,2545.6,1359069,34695.92
12/14/2017,2632,2632,2531.1,2558.2,2557.8,2752075,70420
12/13/2017,2611.4,2651.45,2601,2633.5,2628.4,1480729,38973.86
12/12/2017,2661,2662,2607.4,2609.55,2612.15,941123,24696.38
12/11/2017,2608.35,2672.65,2608.35,2670,2661.1,504001,13282.69
12/8/2017,2618,2645,2597,2600,2601.5,692774,18162.37
12/7/2017,2632.3,2645.95,2615,2617.95,2617.25,663150,17398.57
12/6/2017,2636,2645,2612.85,2635,2633.3,703759,18491.08
12/5/2017,2631,2651.7,2628.15,2633,2635.55,583957,15423.08
12/4/2017,2622,2658.5,2602.95,2630,2632.35,629552,16556.23
12/1/2017,2635,2668,2621.5,2630,2629.95,515572,13651.04
11/30/2017,2653.65,2666.95,2623,2635,2637,2149981,56789
11/29/2017,2677.5,2693,2650,2653.65,2658.15,723766,19358.56
11/28/2017,2686,2702.4,2670,2681.05,2685.3,455858,12213.42
11/27/2017,2688,2695.9,2662.2,2683.05,2685.85,928393,24868.4
11/24/2017,2682,2702.9,2673.1,2688.2,2688.05,1143756,30747.1
11/23/2017,2681,2693,2669,2676.55,2681.25,396735,10649.38
11/22/2017,2673,2709.7,2672.4,2681.4,2680.65,911312,24522.35
11/21/2017,2701,2701,2666,2670.25,2672.95,763870,20460.45
11/20/2017,2715,2726.9,2695.3,2697.9,2703.45,507249,13746.33
11/17/2017,2748.1,2748.1,2703.6,2708.2,2707.3,662732,18025.58
11/16/2017,2710,2763,2686.95,2739.9,2746.65,826741,22603.13
11/15/2017,2706,2755,2701.35,2710,2705.3,3335417,91281.29
11/14/2017,2756.55,2756.55,2707.5,2710,2714.6,828626,22527.15
11/13/2017,2702.05,2777.4,2702.05,2756.55,2758.95,748498,20638.09
11/10/2017,2722.2,2726,2693.35,2710,2708.75,678283,18360.07
11/9/2017,2750,2750,2719.3,2740,2736.4,576216,15744.63
11/8/2017,2723,2759,2718.25,2737,2735,701126,19219.35
11/7/2017,2670,2768,2666.05,2710,2710.05,1348446,36656.65
11/6/2017,2620,2671.8,2611.75,2660.15,2665.55,688500,18187.52
11/3/2017,2632.4,2636.7,2602.8,2622,2620.1,333443,8735.41
11/2/2017,2608.5,2674,2606.75,2623.05,2626.15,734211,19381.59
11/1/2017,2624,2626.85,2578.85,2607.75,2602.85,370941,9621.75
10/31/2017,2601.3,2640,2601.3,2618.75,2624,796317,20925.79
